Productid,ProductName,Quantity,Type,Unit_Price,Existence,Salesid,Date_Sale,Producto,Cant,Client,Total,Payment_Method,ID,Productocompra,CantC,Date,Tot,DateCA,Ingresos,Egresos,Saldo
,,,,,,159,2021-06-08,La mirada,19,Victor hugo,21,Cheque,159,Bolsas con dorado,148,2022-10-01,296,2021-06-08,5858,1220,4638
,,,,,,160,2021-06-09,Chimaltenango,13,Victor hugo,191,Tarjeta de credito,160,Colibri colorido,80,2023-05-01,240,2021-06-09,4140,1359,2781
,,,,,,161,2021-06-10,India,23,Franchesca Coronado,256,Cheque,161,Flor primavera,18,2023-09-01,90,2021-06-10,3458,2311,1147
,,,,,,162,2021-06-11,India,20,Diego Albanez,108,Cheque,162,Tribal,92,2023-05-01,276,2021-06-11,3888,3618,270
,,,,,,163,2021-06-12,Aretes oscuros,42,Bennet Velasquez,68,Efectivo,163,Purpura,132,2023-03-01,660,2021-06-12,3545,3791,-246
,,,,,,164,2021-06-13,Aretes turquesa,36,Pablo Andres,150,Cheque,164,Flores otoño,137,2022-04-01,685,2021-06-13,4291,3860,431
,,,,,,165,2021-06-14,Flor primavera,32,Yolanda perez,132,Tarjeta de credito,165,Flores verano,89,2021-01-01,445,2021-06-14,6826,3545,3281
,,,,,,166,2021-06-15,Aretes azules,82,Pablo Andres,373,Tarjeta de credito,166,Blanco y negro,21,2022-05-01,42,2021-06-15,4754,3693,1061
,,,,,,167,2021-06-16,Frio,47,Pablo Andres,110,Tarjeta de credito,167,Aretes calcetin,150,2023-07-01,450,2021-06-16,697,930,-233
,,,,,,168,2021-06-17,Cascanueces viejo,56,Franchesca Coronado,275,Efectivo,168,Bolsas rojas,50,2022-02-01,150,2021-06-17,135,2350,-2215
,,,,,,169,2021-06-18,Rosa,52,Kevin ovando,315,Efectivo,169,Mar,27,2022-11-01,135,2021-06-18,5189,953,4236
,,,,,,170,2021-06-19,Tipico,21,Majo mata,235,Cheque,170,Bolsas rojas,122,2023-03-01,488,2021-06-19,4598,2585,2013
,,,,,,171,2021-06-20,Blanco y negro,37,Franchesca Coronado,453,Tarjeta de credito,171,Blue,99,2022-12-01,495,2021-06-20,4195,2602,1593
,,,,,,172,2021-06-21,Colibri colorido,42,Pablo Andres,396,Efectivo,172,Cuello,67,2021-02-01,201,2021-06-21,4402,1736,2666
,,,,,,173,2021-06-22,Chichicastenango,48,Pablo Andres,394,Cheque,173,Aretes marmol,10,2021-06-01,50,2021-06-22,2470,994,1476
,,,,,,174,2021-06-23,Verano,65,Franchesca Coronado,309,Tarjeta de credito,174,Nebaj,113,2023-01-01,565,2021-06-23,203,3984,-3781
,,,,,,175,2021-06-24,Blue,62,Diego Albanez,237,Efectivo,175,Aretes piedra,33,2021-09-01,165,2021-06-24,5815,3101,2714
,,,,,,176,2021-06-25,Elegancia,64,Majo mata,395,Tarjeta de credito,176,Aretes elegantes,22,2022-04-01,110,2021-06-25,2176,2296,-120
,,,,,,177,2021-06-26,Papá noel tren,31,Sofia ramos,239,Efectivo,177,Aretes marmol,29,2022-06-01,145,2021-06-26,2497,1768,729
,,,,,,178,2021-06-27,White,95,Sofia ramos,324,Cheque,178,Blanco y negro,41,2021-01-01,82,2021-06-27,6948,2276,4672
,,,,,,179,2021-06-28,Aretes sombrero,96,Diego Albanez,124,Efectivo,179,Bolsas rosadas,127,2022-07-01,254,2021-06-28,6630,3520,3110
,,,,,,180,2021-06-29,Adornado,20,Sofia ramos,340,Tarjeta de credito,180,Bolsas con dorado,94,2021-05-01,470,2021-06-29,6402,2429,3973
,,,,,,181,2021-06-30,Aretes grandes beige,16,Pablo Andres,167,Tarjeta de credito,181,Azul,140,2021-06-01,420,2021-06-30,549,1265,-716
,,,,,,182,2021-07-01,Collar simple morado,78,Kevin ovando,40,Cheque,182,Flores verano,27,2021-07-01,54,2021-07-01,5262,1152,4110
,,,,,,183,2021-07-02,Blue,38,Kevin ovando,128,Efectivo,183,La mirada,95,2021-08-01,380,2021-07-02,4817,3791,1026
,,,,,,184,2021-07-03,Rana,42,Bennet Velasquez,133,Tarjeta de credito,184,Azul oscuro,57,2022-04-01,285,2021-07-03,4819,3399,1420
,,,,,,185,2021-07-04,Bolsas coloridas,48,Bennet Velasquez,116,Cheque,185,Naranja verano,28,2021-08-01,56,2021-07-04,4784,1083,3701
,,,,,,186,2021-07-05,Flor primavera,98,Franchesca Coronado,164,Efectivo,186,San marcos,101,2023-04-01,202,2021-07-05,2698,841,1857
,,,,,,187,2021-07-06,Lorito colorido,95,Kevin ovando,429,Efectivo,187,Pavorreal,115,2022-10-01,575,2021-07-06,3826,1571,2255
,,,,,,188,2021-07-07,Naturaleza,43,Kevin Garcia,207,Tarjeta de credito,188,Aguas escondidas,101,2022-06-01,404,2021-07-07,3642,2819,823
,,,,,,189,2021-07-08,Verano,34,Kevin Garcia,63,Cheque,189,Bolsas naranjas,124,2022-01-01,496,2021-07-08,4337,1238,3099
,,,,,,190,2021-07-09,Bolsas adornadas,23,Victor hugo,118,Efectivo,190,Aretes sombrero,121,2023-08-01,363,2021-07-09,2881,3041,-160
,,,,,,191,2021-07-10,La mirada,100,Franchesca Coronado,289,Tarjeta de credito,191,Colibri colorido,136,2023-08-01,408,2021-07-10,5556,692,4864
,,,,,,192,2021-07-11,Bolsas oscuras,30,Diego Albanez,413,Tarjeta de credito,192,Chimaltenango,35,2021-08-01,105,2021-07-11,607,1197,-590
,,,,,,193,2021-07-12,Bolsas adornadas,27,Pablo Andres,227,Efectivo,193,Carnaval,59,2021-04-01,295,2021-07-12,2458,1507,951
,,,,,,194,2021-07-13,Purple,97,Kevin Garcia,297,Cheque,194,Aretes morados,91,2021-07-01,273,2021-07-13,4586,945,3641
,,,,,,195,2021-07-14,White,61,Diego Albanez,239,Cheque,195,San andres,95,2023-01-01,380,2021-07-14,4995,2281,2714
,,,,,,196,2021-07-15,Guatemala,77,Kevin Garcia,171,Tarjeta de credito,196,Rosado,45,2023-07-01,225,2021-07-15,5347,1024,4323
,,,,,,197,2021-07-16,Aretes purpura,80,Victor hugo,38,Tarjeta de credito,197,Aretes marmol,85,2021-06-01,170,2021-07-16,6750,1251,5499
,,,,,,198,2021-07-17,Blue,60,Victor hugo,39,Cheque,198,Cascanueces,148,2021-12-01,444,2021-07-17,5262,1782,3480
,,,,,,199,2021-07-18,Antigua,100,Sofia ramos,298,Efectivo,199,Caballito de mar,33,2021-11-01,66,2021-07-18,1944,1800,144
,,,,,,200,2021-07-19,Naranja verano,44,Majo mata,49,Efectivo,200,Calido,127,2023-03-01,381,2021-07-19,5698,3026,2672
,,,,,,201,2021-07-20,Aretes piedra,96,Kevin Garcia,79,Tarjeta de credito,201,Azul oscuro,59,2022-07-01,118,2021-07-20,6458,2193,4265
,,,,,,202,2021-07-21,Frosty en casa,21,Kevin Garcia,125,Efectivo,202,Purpura,131,2023-01-01,262,2021-07-21,6965,1916,5049
,,,,,,203,2021-07-22,Aretes invierno,58,Sofia ramos,452,Tarjeta de credito,203,Cangrejo dorado,31,2022-05-01,62,2021-07-22,5900,2485,3415
,,,,,,204,2021-07-23,Naranja verano,79,Sofia ramos,267,Tarjeta de credito,204,Aretes coloridos,88,2021-12-01,440,2021-07-23,2290,836,1454
,,,,,,205,2021-07-24,Aretes elegantes,12,Yolanda perez,327,Efectivo,205,Baw,62,2023-09-01,248,2021-07-24,177,1800,-1623
,,,,,,206,2021-07-25,Rana,84,Bennet Velasquez,277,Cheque,206,Adornado,22,2023-06-01,44,2021-07-25,2080,2039,41
,,,,,,207,2021-07-26,Gallo curioso,46,Bennet Velasquez,82,Tarjeta de credito,207,Morado claro,36,2023-08-01,108,2021-07-26,1798,3594,-1796
,,,,,,208,2021-07-27,Charm,87,Bennet Velasquez,484,Efectivo,208,Caballito de mar,91,2023-06-01,455,2021-07-27,5888,2779,3109
,,,,,,209,2021-07-28,Maiz,64,Bennet Velasquez,44,Efectivo,209,Aquamarino,115,2023-07-01,230,2021-07-28,467,2768,-2301
,,,,,,210,2021-07-29,Soleado,34,Diego Albanez,255,Tarjeta de credito,210,Antigua,95,2023-09-01,285,2021-07-29,6325,1131,5194
,,,,,,211,2021-07-30,Bolsas con dorado,80,Kevin ovando,17,Cheque,211,Guatemala,69,2022-12-01,207,2021-07-30,3118,1741,1377
,,,,,,212,2021-07-31,Aretes oscuros,10,Franchesca Coronado,103,Cheque,212,Aretes sombrero,102,2023-03-01,408,2021-07-31,3507,1484,2023
,,,,,,213,2021-08-01,Aretes coloridos,32,Bennet Velasquez,308,Cheque,213,Rana,63,2022-08-01,189,2021-08-01,1641,3301,-1660
,,,,,,214,2021-08-02,Frosty trio,85,Bennet Velasquez,445,Efectivo,214,Tipico,98,2023-03-01,196,2021-08-02,6504,3880,2624
,,,,,,215,2021-08-03,Calido,87,Pablo Andres,460,Tarjeta de credito,215,Bolsas rosadas,148,2021-04-01,296,2021-08-03,5391,3184,2207
,,,,,,216,2021-08-04,Elegante verde,51,Yolanda perez,495,Cheque,216,La mirada,116,2022-04-01,232,2021-08-04,242,1641,-1399
,,,,,,217,2021-08-05,Cascanueces viejo,90,Kevin Garcia,22,Cheque,217,Gallina celeste,145,2022-06-01,725,2021-08-05,4315,1881,2434
,,,,,,218,2021-08-06,Quiche,34,Diego Albanez,190,Cheque,218,Black,15,2022-04-01,60,2021-08-06,3361,1743,1618
,,,,,,219,2021-08-07,Aretes lila,75,Franchesca Coronado,203,Tarjeta de credito,219,Tribal,63,2022-02-01,315,2021-08-07,4500,3501,999
,,,,,,220,2021-08-08,Solola,36,Majo mata,333,Cheque,220,Invierno,50,2021-11-01,100,2021-08-08,105,1088,-983
,,,,,,221,2021-08-09,Aretes calcetin,39,Sofia ramos,124,Efectivo,221,Aretes invierno,12,2023-04-01,36,2021-08-09,293,2915,-2622
,,,,,,222,2021-08-10,Soleado,84,Pablo Andres,278,Tarjeta de credito,222,Blanco y negro,129,2023-09-01,387,2021-08-10,4935,2448,2487
,,,,,,223,2021-08-11,Aqua,68,Victor hugo,242,Efectivo,223,Aretes turquesa,98,2023-01-01,196,2021-08-11,666,2621,-1955
,,,,,,224,2021-08-12,Azul,36,Pablo Andres,74,Tarjeta de credito,224,Aretes invierno,72,2021-08-01,144,2021-08-12,6823,2886,3937
,,,,,,225,2021-08-13,Baw,98,Majo mata,140,Tarjeta de credito,225,Bolsas oscuras,38,2022-01-01,76,2021-08-13,3823,1986,1837
,,,,,,226,2021-08-14,Blue,97,Kevin ovando,457,Cheque,226,Guatemala,67,2023-09-01,134,2021-08-14,4500,1804,2696
,,,,,,227,2021-08-15,Xelaju,60,Pablo Andres,467,Cheque,227,Aretes turquesa,134,2022-11-01,536,2021-08-15,1472,691,781
,,,,,,228,2021-08-16,Black,11,Sofia ramos,66,Efectivo,228,Aretes coloridos,114,2021-06-01,342,2021-08-16,249,2052,-1803
,,,,,,229,2021-08-17,Charm,35,Kevin ovando,43,Tarjeta de credito,229,Elegante verde,43,2021-09-01,129,2021-08-17,1618,2210,-592
,,,,,,230,2021-08-18,Flores verano,90,Bennet Velasquez,472,Cheque,230,Aretes turquesa,39,2023-04-01,156,2021-08-18,6321,2679,3642
,,,,,,231,2021-08-19,Invierno,63,Kevin Garcia,203,Efectivo,231,Aretes lila,73,2021-12-01,219,2021-08-19,4350,3446,904
,,,,,,232,2021-08-20,Aretes calidos,51,Yolanda perez,347,Tarjeta de credito,232,Aretes sombrero,28,2022-07-01,84,2021-08-20,3995,622,3373
,,,,,,233,2021-08-21,Aretes piedra,89,Kevin Garcia,285,Tarjeta de credito,233,Aretes sombrero,56,2022-03-01,280,2021-08-21,213,3600,-3387
,,,,,,234,2021-08-22,White,69,Diego Albanez,342,Cheque,234,Antigua,108,2021-10-01,216,2021-08-22,1960,2605,-645
,,,,,,235,2021-08-23,Cangrejo dorado,24,Victor hugo,131,Efectivo,235,Aretes morados,13,2021-06-01,52,2021-08-23,4058,3402,656
,,,,,,236,2021-08-24,Charm,48,Majo mata,490,Tarjeta de credito,236,Bolsas pequeñas,70,2021-07-01,350,2021-08-24,892,3182,-2290
,,,,,,237,2021-08-25,Aretes verano,21,Franchesca Coronado,162,Tarjeta de credito,237,Solola,132,2021-09-01,528,2021-08-25,2919,2841,78
,,,,,,238,2021-08-26,Purpura,87,Bennet Velasquez,477,Efectivo,238,Collar simple morado,13,2021-12-01,65,2021-08-26,325,983,-658
,,,,,,239,2021-08-27,Azul oscuro,56,Sofia ramos,210,Cheque,239,Aretes circulares,103,2021-04-01,206,2021-08-27,1426,2720,-1294
,,,,,,240,2021-08-28,Tipico,93,Bennet Velasquez,30,Tarjeta de credito,240,Carnaval,18,2023-02-01,54,2021-08-28,5700,1048,4652
,,,,,,241,2021-08-29,Collar simple morado,100,Diego Albanez,294,Efectivo,241,Quiche,52,2023-03-01,104,2021-08-29,5334,1620,3714
,,,,,,242,2021-08-30,Xelaju,18,Yolanda perez,372,Efectivo,242,Chichicastenango,124,2022-12-01,248,2021-08-30,4841,980,3861
,,,,,,243,2021-08-31,Pajaro rojo,45,Franchesca Coronado,166,Tarjeta de credito,243,Gallina celeste,101,2022-12-01,202,2021-08-31,6088,2941,3147
,,,,,,244,2021-09-01,Cangrejo dorado,21,Majo mata,151,Efectivo,244,Guatemala,147,2021-02-01,441,2021-09-01,5461,1185,4276
,,,,,,245,2021-09-02,Morado claro,77,Sofia ramos,431,Cheque,245,Charm,106,2021-12-01,212,2021-09-02,2783,3361,-578
,,,,,,246,2021-09-03,Aretes Plateados,10,Victor hugo,324,Cheque,246,Aqua,105,2021-07-01,525,2021-09-03,4649,795,3854
,,,,,,247,2021-09-04,Aretes lila,15,Pablo Andres,55,Cheque,247,Bolsas pequeñas,20,2021-02-01,80,2021-09-04,3285,2699,586
,,,,,,248,2021-09-05,Aretes turquesa,86,Majo mata,236,Efectivo,248,Aretes lila,51,2021-04-01,255,2021-09-05,6842,627,6215
,,,,,,249,2021-09-06,Aretes grandes beige,73,Kevin ovando,494,Efectivo,249,Purpura,34,2023-08-01,170,2021-09-06,2031,3208,-1177
,,,,,,250,2021-09-07,Invierno,96,Majo mata,397,Tarjeta de credito,250,Aquamarino,55,2021-08-01,275,2021-09-07,5333,1887,3446
,,,,,,251,2021-09-08,Aretes sombrero,24,Majo mata,339,Efectivo,251,Papá noel tren,26,2021-09-01,78,2021-09-08,2072,3822,-1750
,,,,,,252,2021-09-09,Baw,54,Majo mata,402,Cheque,252,Buho,73,2021-07-01,365,2021-09-09,5957,1875,4082
,,,,,,253,2021-09-10,Aretes piedra,23,Kevin ovando,195,Tarjeta de credito,253,India,123,2021-04-01,615,2021-09-10,2374,3576,-1202
,,,,,,254,2021-09-11,Azul,92,Kevin ovando,375,Tarjeta de credito,254,Tejido,123,2021-07-01,615,2021-09-11,1892,3391,-1499
,,,,,,255,2021-09-12,Lorito colorido,32,Kevin ovando,253,Cheque,255,Colibri colorido,117,2021-05-01,351,2021-09-12,1632,3114,-1482
,,,,,,256,2021-09-13,Aretes azules,77,Majo mata,223,Cheque,256,Purple,11,2022-07-01,55,2021-09-13,6417,673,5744
,,,,,,257,2021-09-14,Purple,67,Majo mata,201,Tarjeta de credito,257,Aretes circulares,106,2021-09-01,424,2021-09-14,5214,3689,1525
,,,,,,258,2021-09-15,Black,43,Victor hugo,342,Cheque,258,Bolsas amarillentas,118,2021-04-01,354,2021-09-15,2579,2097,482
,,,,,,259,2021-09-16,Aguas escondidas,36,Diego Albanez,124,Tarjeta de credito,259,Tribal,17,2023-01-01,34,2021-09-16,4633,1523,3110
,,,,,,260,2021-09-17,Gold and black,87,Majo mata,491,Efectivo,260,Aretes marmol,16,2022-07-01,80,2021-09-17,4065,1764,2301
,,,,,,261,2021-09-18,Frosty en casa,80,Kevin Garcia,95,Efectivo,261,Papá noel tren,86,2022-10-01,430,2021-09-18,2124,700,1424
,,,,,,262,2021-09-19,Papá noel tren,84,Kevin Garcia,496,Cheque,262,San marcos,147,2023-09-01,588,2021-09-19,3088,2548,540
,,,,,,263,2021-09-20,Purpura,10,Franchesca Coronado,473,Efectivo,263,Antigua,37,2022-08-01,111,2021-09-20,6501,2809,3692
,,,,,,264,2021-09-21,Bolsas pequeñas,79,Kevin ovando,88,Cheque,264,Rosa,109,2021-01-01,218,2021-09-21,1213,1548,-335
,,,,,,265,2021-09-22,Maiz,97,Pablo Andres,108,Efectivo,265,Collar calido,66,2021-02-01,330,2021-09-22,2429,3275,-846
,,,,,,266,2021-09-23,Aretes grandes beige,53,Sofia ramos,495,Cheque,266,Gallo curioso,68,2022-11-01,204,2021-09-23,2385,3232,-847
,,,,,,267,2021-09-24,Papá noel tren,66,Yolanda perez,265,Tarjeta de credito,267,Frosty trio,94,2023-04-01,282,2021-09-24,4379,3366,1013
,,,,,,268,2021-09-25,Aretes morados,64,Victor hugo,259,Efectivo,268,Mar,132,2021-07-01,264,2021-09-25,5547,748,4799
,,,,,,269,2021-09-26,Cangrejo dorado,25,Kevin ovando,277,Cheque,269,Bolsas amarillentas,91,2023-09-01,455,2021-09-26,4453,3326,1127
,,,,,,270,2021-09-27,Purpura,19,Kevin ovando,397,Cheque,270,Rosado,45,2023-07-01,135,2021-09-27,2739,1242,1497
,,,,,,271,2021-09-28,Buho,82,Sofia ramos,475,Cheque,271,Blue,43,2023-06-01,129,2021-09-28,2053,2121,-68
,,,,,,272,2021-09-29,Aretes grandes beige,82,Diego Albanez,236,Efectivo,272,Aretes marmol,127,2022-10-01,508,2021-09-29,6292,1288,5004
,,,,,,273,2021-09-30,Pavorreal,43,Yolanda perez,398,Cheque,273,Bolsas rojas,113,2022-05-01,565,2021-09-30,3644,3990,-346
,,,,,,274,2021-10-01,Tejido,90,Kevin Garcia,119,Efectivo,274,Tipico,129,2022-09-01,387,2021-10-01,5366,2058,3308
,,,,,,275,2021-10-02,Soleado,74,Kevin ovando,425,Cheque,275,Invierno,80,2022-10-01,160,2021-10-02,4932,649,4283
,,,,,,276,2021-10-03,Aretes elegantes,80,Majo mata,310,Tarjeta de credito,276,Aretes morados,138,2022-06-01,552,2021-10-03,4612,751,3861
,,,,,,277,2021-10-04,Bolsas naranjas,86,Kevin ovando,416,Efectivo,277,Adornado,140,2021-04-01,700,2021-10-04,1957,3119,-1162
,,,,,,278,2021-10-05,Baw,44,Sofia ramos,381,Cheque,278,Flores otoño,53,2022-06-01,106,2021-10-05,5832,984,4848
,,,,,,279,2021-10-06,Pescado naranja,98,Franchesca Coronado,369,Efectivo,279,Purple,61,2023-06-01,244,2021-10-06,1859,3660,-1801
,,,,,,280,2021-10-07,Guardia,42,Pablo Andres,300,Tarjeta de credito,280,Blue,131,2022-12-01,524,2021-10-07,5625,3048,2577
,,,,,,281,2021-10-08,Verano,45,Franchesca Coronado,210,Cheque,281,Naranja verano,85,2022-12-01,255,2021-10-08,2505,3773,-1268
,,,,,,282,2021-10-09,Bastón de caramelo,69,Yolanda perez,198,Efectivo,282,Carnaval,72,2021-10-01,288,2021-10-09,2401,2655,-254
,,,,,,283,2021-10-10,India,20,Franchesca Coronado,70,Efectivo,283,Aretes azules,86,2021-04-01,258,2021-10-10,897,2805,-1908
,,,,,,284,2021-10-11,Naranja verano,51,Victor hugo,62,Tarjeta de credito,284,Aretes turquesa,72,2023-07-01,216,2021-10-11,1327,2533,-1206
,,,,,,285,2021-10-12,Cerdo volador,14,Kevin Garcia,414,Cheque,285,Collar calido,89,2022-12-01,178,2021-10-12,2725,2588,137
,,,,,,286,2021-10-13,Gold and black,59,Majo mata,58,Tarjeta de credito,286,Cascanueces viejo,105,2021-08-01,525,2021-10-13,237,3435,-3198
,,,,,,287,2021-10-14,Bolsas con dorado,64,Victor hugo,41,Tarjeta de credito,287,Cuello,98,2023-06-01,490,2021-10-14,2246,548,1698
,,,,,,288,2021-10-15,Bolsas pequeñas,59,Pablo Andres,41,Efectivo,288,Verano,127,2023-06-01,508,2021-10-15,2160,2510,-350
,,,,,,289,2021-10-16,Aretes europa,90,Kevin ovando,248,Cheque,289,Congelado,17,2023-07-01,34,2021-10-16,3467,3496,-29
,,,,,,290,2021-10-17,Maiz,72,Kevin Garcia,485,Cheque,290,Purpura,140,2021-12-01,700,2021-10-17,581,684,-103
,,,,,,291,2021-10-18,Semi oscura,37,Kevin ovando,182,Tarjeta de credito,291,Solola,130,2022-12-01,520,2021-10-18,2991,3409,-418
,,,,,,292,2021-10-19,Morado claro,74,Victor hugo,161,Efectivo,292,Aguila,129,2022-06-01,387,2021-10-19,1776,2244,-468
,,,,,,293,2021-10-20,Cascanueces viejo,77,Victor hugo,388,Cheque,293,Dorado,118,2023-01-01,590,2021-10-20,2653,3265,-612
,,,,,,294,2021-10-21,Lorito colorido,35,Diego Albanez,26,Tarjeta de credito,294,Frosty trio,73,2022-11-01,146,2021-10-21,5129,2922,2207
,,,,,,295,2021-10-22,Cerdo volador,66,Diego Albanez,313,Cheque,295,Aretes turquesa,23,2022-06-01,69,2021-10-22,4296,2939,1357
,,,,,,296,2021-10-23,Pajaro rojo,26,Yolanda perez,123,Tarjeta de credito,296,Cerdo volador,109,2023-02-01,218,2021-10-23,6413,2311,4102
,,,,,,297,2021-10-24,Bolsas naranjas,85,Kevin Garcia,435,Cheque,297,Aretes circulares,43,2023-02-01,172,2021-10-24,4464,636,3828
,,,,,,298,2021-10-25,Frosty en casa,32,Kevin Garcia,484,Tarjeta de credito,298,Bolsas amarillentas,132,2022-05-01,528,2021-10-25,4668,3646,1022
,,,,,,299,2021-10-26,Aretes marmol,16,Kevin ovando,298,Tarjeta de credito,299,Collar calido,43,2022-06-01,172,2021-10-26,3734,2989,745
,,,,,,300,2021-10-27,Azul,20,Diego Albanez,399,Tarjeta de credito,300,La mirada,116,2021-05-01,464,2021-10-27,1176,2984,-1808
,,,,,,301,2021-10-28,Bolsas adornadas,57,Sofia ramos,108,Tarjeta de credito,301,Cangrejo dorado,95,2021-12-01,190,2021-10-28,850,2987,-2137
,,,,,,302,2021-10-29,Mar,98,Pablo Andres,268,Efectivo,302,Elegancia,114,2022-09-01,570,2021-10-29,709,539,170
,,,,,,303,2021-10-30,Carnaval,34,Sofia ramos,423,Cheque,303,Rosado,75,2021-05-01,300,2021-10-30,1773,3871,-2098
,,,,,,304,2021-10-31,Aguas escondidas,38,Pablo Andres,493,Tarjeta de credito,304,Turquesa,148,2022-04-01,444,2021-10-31,1687,2542,-855
,,,,,,305,2021-11-01,Rosa,60,Victor hugo,352,Cheque,305,Caballito de mar,65,2022-09-01,325,2021-11-01,5268,1029,4239
,,,,,,306,2021-11-02,Carnaval,79,Diego Albanez,363,Cheque,306,Cascanueces viejo,28,2023-09-01,56,2021-11-02,4211,3427,784
,,,,,,307,2021-11-03,Verano,100,Majo mata,175,Cheque,307,Aretes celestes,75,2023-04-01,375,2021-11-03,6357,2213,4144
,,,,,,308,2021-11-04,Rosa,29,Bennet Velasquez,99,Cheque,308,San andres,129,2023-09-01,258,2021-11-04,3800,1745,2055
,,,,,,309,2021-11-05,Pajaro rojo,43,Bennet Velasquez,12,Tarjeta de credito,309,Tipico,45,2021-10-01,90,2021-11-05,2144,2592,-448
,,,,,,310,2021-11-06,La mirada,70,Kevin ovando,93,Cheque,310,Frosty trio,18,2023-04-01,72,2021-11-06,4153,1299,2854
,,,,,,311,2021-11-07,White,25,Majo mata,220,Efectivo,311,Triangular,58,2022-06-01,232,2021-11-07,3498,3575,-77
,,,,,,312,2021-11-08,La mirada,69,Diego Albanez,471,Tarjeta de credito,312,Antigua,29,2022-03-01,116,2021-11-08,3107,3525,-418
,,,,,,313,2021-11-09,Azul,47,Yolanda perez,139,Cheque,313,Naturaleza,117,2021-04-01,234,2021-11-09,3279,1985,1294
,,,,,,314,2021-11-10,Aretes purpura,79,Kevin Garcia,280,Cheque,314,Charm,28,2021-09-01,140,2021-11-10,4708,2779,1929
,,,,,,315,2021-11-11,Aretes invierno,99,Kevin ovando,235,Efectivo,315,Aretes verano,91,2023-02-01,182,2021-11-11,2911,2436,475
,,,,,,316,2021-11-12,Nebaj,15,Majo mata,476,Cheque,316,Gallina celeste,74,2021-08-01,222,2021-11-12,6484,1279,5205
,,,,,,317,2021-11-13,Bolsas pequeñas,87,Yolanda perez,374,Cheque,317,Charm,102,2023-05-01,306,2021-11-13,5233,3429,1804
,,,,,,318,2021-11-14,Pajaro rojo,53,Victor hugo,304,Cheque,318,Aretes celestes,25,2021-05-01,125,2021-11-14,2734,3756,-1022
,,,,,,319,2021-11-15,Bolsas amarillas,71,Diego Albanez,146,Tarjeta de credito,319,Aretes Plateados,145,2021-02-01,435,2021-11-15,6858,1643,5215
,,,,,,320,2021-11-16,Aretes grandes beige,52,Diego Albanez,30,Cheque,320,Pavorreal,91,2022-09-01,455,2021-11-16,530,3761,-3231
,,,,,,321,2021-11-17,Bolsas adornadas,77,Victor hugo,429,Cheque,321,Soleado,16,2021-12-01,64,2021-11-17,5297,2445,2852
,,,,,,322,2021-11-18,Gallo curioso,34,Bennet Velasquez,417,Tarjeta de credito,322,Aqua,58,2021-09-01,174,2021-11-18,6408,1584,4824
,,,,,,323,2021-11-19,Guardia,31,Kevin ovando,421,Cheque,323,Bolsas rosadas,147,2022-02-01,294,2021-11-19,5662,1280,4382
,,,,,,324,2021-11-20,Blanco y negro,82,Sofia ramos,463,Efectivo,324,Bolsas oscuras,63,2022-03-01,252,2021-11-20,2755,698,2057
,,,,,,325,2021-11-21,Bolsas con dorado,100,Kevin Garcia,132,Efectivo,325,Cerdo volador,70,2022-01-01,140,2021-11-21,173,3116,-2943
,,,,,,326,2021-11-22,Flores otoño,95,Victor hugo,359,Cheque,326,Carnaval,83,2023-06-01,332,2021-11-22,1239,2443,-1204
,,,,,,327,2021-11-23,Aretes circulares,39,Kevin Garcia,470,Efectivo,327,Aretes calidos,20,2022-05-01,60,2021-11-23,2645,3313,-668
,,,,,,328,2021-11-24,Elegante verde,100,Kevin ovando,102,Efectivo,328,Blanco y negro,41,2023-06-01,123,2021-11-24,860,935,-75
,,,,,,329,2021-11-25,Aguila,91,Kevin ovando,233,Cheque,329,Aretes purpura,132,2021-02-01,528,2021-11-25,486,892,-406
,,,,,,330,2021-11-26,Bolsas adornadas,27,Yolanda perez,326,Tarjeta de credito,330,Aretes coloridos,73,2022-06-01,365,2021-11-26,5470,3707,1763
,,,,,,331,2021-11-27,Bolsas naranjas,46,Franchesca Coronado,143,Efectivo,331,Frio,96,2022-09-01,288,2021-11-27,2647,2048,599
,,,,,,332,2021-11-28,Aretes lila,24,Yolanda perez,308,Efectivo,332,Bastón de caramelo,107,2023-06-01,428,2021-11-28,1488,3577,-2089
,,,,,,333,2021-11-29,Blue,84,Bennet Velasquez,182,Cheque,333,Xelaju,57,2022-10-01,285,2021-11-29,5783,3441,2342
,,,,,,334,2021-11-30,Bolsas amarillentas,60,Pablo Andres,97,Efectivo,334,Aqua,128,2022-08-01,256,2021-11-30,1432,1990,-558
,,,,,,335,2021-12-01,Maiz,96,Diego Albanez,449,Cheque,335,Gallo curioso,115,2023-07-01,230,2021-12-01,5116,3822,1294
,,,,,,336,2021-12-02,White,78,Kevin ovando,277,Efectivo,336,Rosado,122,2022-09-01,244,2021-12-02,6973,3720,3253
,,,,,,337,2021-12-03,Frosty en casa,32,Victor hugo,52,Cheque,337,Bastón de caramelo,28,2023-05-01,140,2021-12-03,3798,2784,1014
,,,,,,338,2021-12-04,Antigua,34,Kevin ovando,422,Efectivo,338,Collar simple morado,141,2021-04-01,282,2021-12-04,2132,2993,-861
,,,,,,339,2021-12-05,Quiche,37,Victor hugo,467,Tarjeta de credito,339,Aretes hojas,142,2022-02-01,710,2021-12-05,5869,3905,1964
